"PLAYERS","DFG","BOT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Jared Spurgeon                                3","D","UFA","MIN","36","$0.5","62","17","0.3"
"Brady Skjei                                3","D","HSM","NSH","32","$0.9","61","17","0.3"
"Nick Cousins                                3","F","UFA","OTT","33","$0.0","59","17","0.3"
"Kailer Yamamoto                                3","F","UFA","UTA","27","$0.0","39","17","0.4"
"Alex Steeves                                3","F","UFA","BOS","26","$0.0","38","16","0.4"
"Frederik Andersen                                3","G","GVR","CAR","36","$0.6","24","16","0.7"
"Eric Robinson                                3","F","UFA","CAR","31","$0.0","48","16","0.3"
"Jonatan Berggren                                3","F","UFA","DET","26","$0.5","37","16","0.4"
"Daniil Tarasov                                E","G","ZSK","FLA","27","$0.5","20","16","0.8"
"Trevor Moore                                3","F","MAC","LAK","31","$0.7","47","16","0.3"
"Jake Evans                                3","F","UFA","MTL","30","$0.0","46","16","0.3"
"Alex Newhook                                3","F","UFA","MTL","25","$0.5","20","16","0.8"
"Calum Ritchie                                A","F","ZSK","NYI","21","$0.5","45","16","0.4"
"Max Shabanov                                3","F","SHF","NYI","25","$0.5","40","16","0.4"
"Noah Laba                                3","F","UFA","NYR","23","$0.0","57","16","0.3"
"Nick Jensen                                3","D","UFA","OTT","35","$0.0","57","16","0.3"
"Leevi Merilainen                                B","G","LGN","OTT","24","$0.5","20","16","0.8"
"Ian Cole                                3","D","UFA","UTA","37","$0.6","61","16","0.3"
"Tom Willander                                A","D","LPT","VAN","21","$0.5","49","16","0.3"
"Nic Dowd                                3","F","UFA","WSH","36","$0.0","55","16","0.3"
"Adam Lowry                                3","F","UFA","WPG","33","$0.0","48","16","0.3"
"Jalen Chatfield                                3","D","UFA","CAR","30","$0.0","54","15","0.3"
"Pyotr Kochetkov                                2","G","SHF","CAR","27","$2.4","9","15","1.7"
"Louis Crevier                                3","D","UFA","CHI","25","$0.0","58","15","0.3"
"Dominic James                                3","F","UFA","TBL","24","$0.0","43","15","0.3"
"Arvid Soderblom                                3","G","UFA","CHI","27","$0.0","18","15","0.8"
"Alex Vlasic                                3","D","UFA","CHI","25","$0.0","60","15","0.3"
"Devon Toews                                3","D","VPP","COL","32","$2.4","47","15","0.3"
"Marco Kasper                                A","F","SRL","DET","22","$0.5","61","15","0.2"
"Uvis Balinskis                                3","D","UFA","FLA","30","$0.0","51","15","0.3"
"Phillip Danault                                3","F","UFA","LAK","33","$0.5","54","15","0.3"
"Jonas Brodin                                3","D","UFA","MIN","33","$0.5","43","15","0.3"
"Casey Cizikas                                3","F","UFA","NYI","35","$0.0","61","15","0.2"
"Taylor Raddysh                                3","F","UFA","NYR","28","$0.5","57","15","0.3"
"Noel Acciari                                3","F","UFA","PIT","34","$0.0","46","15","0.3"
"Ryan Winterton                                3","F","UFA","SEA","23","$0.0","56","15","0.3"
"Dalibor Dvorsky                                A","F","JHN","STL","21","$0.7","51","15","0.3"
"Victor Hedman                                3","D","MAC","TBL","35","$4.7","25","15","0.6"
"Brett Howden                                3","F","UFA","VGK","28","$0.5","39","15","0.4"
"Ben Hutton                                3","D","UFA","VGK","33","$0.0","51","15","0.3"
